title,year,venue,music,lyrics,book,notes
Of V We Sing,1942,Broadway revue,Various artists,Various artists,"Sam Locke, Mel Tolkin and Al Geto",
"Oh, Boy!",1917,Broadway,Jerome Kern,Guy Bolton and P. G. Wodehouse,Bolton Wodehouse,"Notable song: ""Till the Clouds Roll By""."
"Oh, Captain!",1958,Broadway,Jay Livingston and Ray Evans,Livingston and Evans,Al Morgan and José Ferrer,
"Oh, Kay!",1926,Broadway,George Gershwin,Ira Gershwin,Guy Bolton and P. G. Wodehouse,"Notable song: ""Someone to Watch Over Me""."
"Oh, What a Lovely War!",1963,West End,Various artists,Various artists,Joan Littlewood and Theatre Workshop,
Oil City Symphony,1987,Off-Broadway,Various artists,Various artists,"Mike Craver, Mark Hardwick, Debra Monk and Mary Murfitt",
Oklahoma!,1943,Broadway,Richard Rodgers,Oscar Hammerstein II,Hammerstein,"Notable songs: ""Oh, What a Beautiful Mornin'"", ""Oklahoma!"" and ""People Will Say We're in Love""."
Oliver!,1960,West End,Lionel Bart,Bart,Bart,"Notable songs: ""Consider Yourself"", ""Where is Love?"", ""As Long As He Needs Me"" and ""Food, Glorious Food""."
Oliver & Company,1988,Musical film,J.A.C. Redford,Redford,"Jim Cox, Tim Disney and James Mangold",
Olympus on My Mind,1986,Off-Broadway,Grant Sturiale,Barry Harman,Harman,
On a Clear Day You Can See Forever,1965,Broadway,Burton Lane,Alan Jay Lerner,Lerner,
On the Level,1966,West End,Ron Grainer,Grainer,Ronald Millar,
On the Record,2004,US Tour,Various artists,Various artists,N/A,
On the Town,1944,Broadway,Leonard Bernstein,Betty Comden and Adolph Green,Comden and Green,"Notable song: ""New York, New York""."
On the Twentieth Century,1978,Broadway,Cy Coleman,Betty Comden and Adolph Green,Comden and Green,
On Your Toes,1936,Broadway,Richard Rodgers,Lorenz Hart,"Rodgers, Hart and George Abbott",
Once,2012,Broadway,Glen Hansard and Marketa Irglova,Hansard and Irglova,Enda Walsh,"Notable song: ""Falling Slowly""."
Once on This Island,1990,Broadway,Stephen Flaherty,Lynn Ahrens,Ahrens,
Once Upon a Mattress,1959,Off-Broadway,Mary Rodgers,Marshall Barer,"Jay Thompson, Barer and Dean Fuller",
Once Upon a Time at the Adelphi,2008,British Musical,Elliot Davis and Phil Willmott,Davis and Wilmott,Davis and Wilmott,
One and One,1978,Off-Broadway,Dianne Adams and Richard O'Donnell.,Adams and O'Donnell,Fred Bennett and O'Donnell,
One Touch of Venus,1943,Broadway,Kurt Weill,Ogden Nash,S. J. Perelman and Nash,"Notable song: ""Speak Low""."
"The One and Only, Genuine, Original Family Band",1968,Musical film,Richard M. Sherman and Robert B. Sherman,Sherman and Sherman,Lowell S. Hawley,
Ordinary Days,2009,Off-Broadway,Adam Gwon,Gwon,Gwon,
Our House,2002,West End,Madness,Madness,Tim Firth,
Only the Lonely - The Roy Orbison Story,1995,Off-Broadway,Various artists,Various artists,N/A,
Our Miss Gibbs,1909,West End,Ivan Caryll and Lionel Monckton,Adrian Ross and Percy Greenbank,Cryptos and James T. Tanner,
Out of This World,1950,Broadway,Cole Porter,Porter,Dwight Taylor and Reginald Lawrence,
Over Here!,1974,Broadway,Richard M. Sherman and Robert B. Sherman,Sherman and Sherman,Will Holt,
Pacific 1860,1946,West End,Noël Coward,Coward,Coward,
Pacific Overtures,1976,Broadway,Stephen Sondheim,Sondheim,John Weidman,
Paint Your Wagon,1951,Broadway,Frederick Loewe,Alan Jay Lerner,Lerner,"Notable song: ""Wand'rin' Star""."
The Pajama Game,1954,Broadway,Richard Adler and Jerry Ross,Adler and Ross,George Abbott and Richard Bissell,"Notable songs: ""Steam Heat"" and ""Hernando's Hideaway""."
Pal Joey,1940,Broadway,Richard Rodgers,Lorenz Hart,John O'Hara,"Notable song: ""Bewitched, Bothered and Bewildered""."
Panama Hattie,1940,Broadway,Cole Porter,Porter,Herbert Fields and B. G. DeSylva,
Parade,1998,Broadway,Jason Robert Brown,Brown,Alfred Uhry,
Paramour,2016,Broadway,"Guy Dubuc, Marc Lessard, and Andreas Carlsson",Carlsson,Philippe Decouflé,
Paris,1928,Broadway,"Cole Porter, Walter Kollo, and Louis Alter","Porter, E. Ray Goetz, and Roy Turk",Martin Brown,
Paris,2003,Australian musical,Jon English and David MacKay,English and MacKay,English and MacKay,
Passing Strange,2008,Broadway,Stew and Heidi Rodewald,Stew,Stew,
Passion,1994,Broadway,Stephen Sondheim,Sondheim,James Lapine,
The Passion Flower Hotel,1965,West End,John Barry,Trevor Peacock,Wolf Mankowitz,
"Pegados, El Musical",2010,Spanish musical,Ferran Gonzalez and Alicia Serrat,Gonzalez and Serrat,Gonzalez,
Perchance to Dream,1945,West End,Ivor Novello,Novello,Novello,
Pennies from Heaven,1981,Musical film,Various artists,Various artists,Dennis Potter,
Perfect Harmony,2010,Off-Broadway,Various artists,Various artists,Andrew Grosso & The Essentials,
The Perils of Pauline,1947,Musical film,Robert Emmett Dolan,Dolan,P.J. Wolfson and Frank Butler,
Le Petit Prince,2002,French musical,Richard Cocciante,Cocciante,Cocciante,
Peter Pan: A Musical Adventure,1996,Danish musical,George Stiles and Anthony Drewe,Stiles and Drewe,Willis Hall,
Peter Pan,1950,Broadway,Leonard Bernstein,Bernstein,J. M. Barrie,
Peter Pan,1953,Musical Animated film,Frank Churchill and Sammy Fain,Various artists,Various writers,
Peter Pan,1954,Broadway,Mark Charlap and Jule Styne,"Betty Comden, Adolph Green, and Carolyn Leigh",J. M. Barrie,
Pete's Dragon,1977,Musical Animated film,Al Kasha and Joel Hirschhorn,Kasha and Hirschhorn,Malcolm Marmorstein,"Notable song: ""Candle on the Water""."
Phantom of the Opera,1976,West End,Ken Hill,Hill,Hill,
The Phantom of the Opera,1986,West End,Andrew Lloyd Webber,Charles Hart,Lloyd Webber and Richard Stilgoe,"Notable songs: ""The Phantom of the Opera"" and ""The Music of the Night""."
The Phantom Tollbooth,1995,Off-Broadway,Arnold Black,Sheldon Harnick,Norton Juster and Harnick,
Phi-Phi,1918,French musical,Henri Christiné,Albert Willemetz and Fabien Solar,Willemetz and Solar,
Pickwick,1963,West End,Cyril Ornadel,Leslie Bricusse,Wolf Mankowitz,
Pieces of Eight,1985,Off-West End,Jule Styne,Susan Birkenhead,Michael Stewart and Mark Bramble,
Pink Floyd – The Wall,1982,Musical film,"Pink Floyd, Bob Ezrin and Michael Kamen","Floyd, Ezrin and Kamen",Roger Waters,
Pinocchio,1940,Musical Animated film,Leigh Harline and Paul J. Smith,Harline and Smith,Various writers,"Notable song: ""When You Wish Upon a Star""."
Pins and Needles,1937,Broadway revue,Harold Rome,Rome,Various writers,
Pipe Dream,1955,Broadway,Richard Rodgers,Oscar Hammerstein II,Hammerstein,
Pippin,1972,Broadway,Stephen Schwartz.,Schwartz,Roger O. Hirson,
The Pirate Queen,2007,Broadway,Claude-Michel Schönberg,"Alain Boublil and Richard Maltby, Jr.","Schönberg, Boublil and Maltby, Jr.","Notable song: ""Woman""."
Plain and Fancy,1955,Broadway,Albert Hague,Arnold Horwitt,Joseph Stein and Will Glickman,
Platinum,1978,Broadway,Gary William Friedman,Will Holt,Holt and Bruce Vilanch,
Play On!,1997,Broadway,Duke Ellington,Various artists,Cheryl West,
La Plume de Ma Tante,1958,Broadway revue,Gérard Calvi,Ross Parker and Francis Blanche,Robert Dhéry,
Pocahontas,1995,Musical Animated film,Alan Menken,Stephen Schwartz,"Carl Binder, Susannah Grant and Philip LaZebnik","Notable song: ""Colors of the Wind""."
Pokémon Live!,2001,US Tour,Unknown,Unknown,Unknown,
Poor Little Rich Girl,1936,Musical film,Mack Gordon and Harry Revel,Gordon and Revel,"Sam Hellman, Gladys Lehman and Harry Tugend",
Popeye,1980,Musical film,Harry Nilsson and Tom Pierson,Nilsson and Pierson,Jules Feiffer,
Porgy and Bess,1935,Broadway,George Gershwin,DuBose Heyward and Ira Gershwin,Heyward,"Notable song: ""Summertime""."
Portofino,1958,Broadway,Louis Bellson and Will Irwin,Richard Ney and Sheldon Harnick,Ney,
Pride and Prejudice,1993,Off-Off-Broadway,Bernard J. Taylor,Taylor,Taylor,
The Prince and the Pauper,2002,Off-Broadway,Neil Berg,Berg,Mark Twain,
The Producers,2001,Broadway,Mel Brooks,Brooks,Brooks and Thomas Meehan,"Notable song: ""Springtime for Hitler""."
Promenade,1969,Off-Broadway,Al Carmines,María Irene Fornés,Fornés,
"Promises, Promises",1968,Broadway,Burt Bacharach,Hal David,Neil Simon,"Notable song: ""I Say a Little Prayer""."
Pump Boys and Dinettes,1982,Broadway,Various artists,Various artists,Various writers,
Purlie,1970,Broadway,Gary Geld,Peter Udell,"Ossie Davis, Philip Rose and Udell",
Puteri Gunung Ledang,2006,Malaysian musical,Dick Lee,Adlin Aman Ramlie,"Saw Teong Hin, Zahim Albakri and Ramlie",
Quilters,1984,Broadway,Barbara Damashek,Damashek,Molly Newman and Damashek,
Quadrophenia,1996,Off-Broadway,Pete Townshend,Townshend,Townshend,"Notable song: ""Love Reign O'er Me""."
The Race to Urga,1969,Workshop,Leonard Bernstein,Stephen Sondheim,John Guare,
Rags,1986,Broadway,Charles Strouse,Stephen Schwartz,Joseph Stein,
Ragtime,1998,Broadway,Stephen Flaherty,Lynn Ahrens,Terrence McNally,"Notable songs: ""Wheels of a Dream"" and ""Your Daddy's Son""."
Raisin,1973,Broadway,Judd Woldin,Robert Brittan,Robert B. Nemiroff and Charlotte Zaltzberg,
Randy Newman's Faust,1995,Off-Broadway,Randy Newman,Newman,Newman,
Rebecca,2006,Austrian musical,Sylvester Levay,Michael Kunze,Kunze,
"Red, Hot and Blue",1936,Broadway,Cole Porter,Porter,Howard Lindsay and Russel Crouse,Star vehicle for Ethel Merman and Jimmy Durante.
Red Pepper,1922,Broadway,Owen Murphy and Albert Gumble,Howard Rogers and Murphy,Edgar Smith and Emily Young,
The Red Shoes,1993,Broadway,Jule Styne,Marsha Norman and Bob Merrill,Norman,
"Red, White and Maddox",1969,Broadway,Don Tucker,Tucker,Jay Broad and Tucker,
Redhead,1959,Broadway,Albert Hague,Dorothy Fields,"Herbert Fields, Sidney Sheldon, David Shaw and Fields",
Reefer Madness,2004,Off-Broadway,Dan Studney,Kevin Murphy,Murphy,
Rent,1996,Off-Broadway,Jonathan Larson,Larson,Larson,"Notable songs: ""Seasons of Love"", ""La Vie Bohème"" and ""Take Me or Leave Me""."
Repo! The Genetic Opera,2008,Musical film,Terrance Zdunich and Darren Smith,Zdunich and Smith,Zdunich and Smith,"Notable songs: ""Zydrate Anatomy"", ""Mark it Up"" and ""Seventeen""."
Revolution in the Elbow of Ragnar Agnarsson Furniture Painter,2014,Off-Broadway,Ívar Páll Jónsson,Jónsson,Jónsson,
Rex,1976,Broadway,Richard Rodgers,Sheldon Harnick,Sherman Yellen,
Return to the Forbidden Planet,1989,West End Jukebox musical,Various artists,Various artists,Bob Carlton,
Riverwind,1962,Off-Broadway,John Jennings,Jennings,Jennings,
Road Show,2003,Off-Broadway,Stephen Sondheim,Sondheim,John Weidman,Retitled from Bounce
Road to Morocco,1942,Musical film,Jimmy Van Heusen,Johnny Burke,Frank Butler and Don Hartman,
Road to Singapore,1940,Musical film,James V. Monaco and Victor Schertzinger,Johnny Burke,"Frank Butler, Don Hartman and Harry Hervey",
Road to Utopia,1945,Musical film,Jimmy Van Heusen,Johnny Burke,Melvin Frank and Norman Panama,
Road to Zanzibar,1941,Musical film,Jimmy Van Heusen and D. Costa,Johnny Burke and John Howard Payne,"Sy Bartlett, Frank Butler and Don Hartman",
The Roar of the Greasepaint – The Smell of the Crowd,1965,UK Tour,Leslie Bricusse and Anthony Newley,Bricusse and Newley,Bricusse and Newley,
The Robber Bridegroom,1975,Broadway,Robert Waldman,Alfred Uhry,Uhry,
Robert and Elizabeth,1964,West End,Ron Grainer,Ronald Millar,Millar,
Roberta,1933,Broadway,Jerome Kern,Otto Harbach,Harbach,
Rockabye Hamlet,1974,Canadian musical,Cliff Jones,Jones,Jones,
Rockville,2009,Off-Broadway,Martin Gellner and Werner Stranka,"Gellner, Stranka and Kim Duddy",Duddy,
Rock 'n Roll Café,2012,Off-Broadway,Bernard J. Taylor,Taylor,Taylor,
Rock of Ages,2006,Broadway Jukebox musical,Various artists,Various artists,Chris D'Arienzo,"notable songs: ""juke box hero"""
The Rocky Horror Show,1973,West End,Richard O'Brien,O'Brien,O'Brien,"Notable songs: ""The Time Warp"" and ""Sweet Transvestite""."
Rocky the Musical,2014,Broadway,Stephen Flaherty,Lynn Ahrens,Thomas Meehan,Based on the film of the same name.
Le Roi Soleil,2005,French musical,Various artists,Lionel Florence and Patrice Guirao,Kamel Ouali,
Romance/Romance,1988,Broadway,Keith Herrmann,Barry Harman,Harman,
Romance in Hard Times,1989,Off-Broadway,William Finn,Finn,Finn,
"Roméo et Juliette, de la Haine à l'Amour",2001,French musical,Gerard Présgurvic,Présgurvic,Présgurvic,"Notable songs: ""Les Rois du monde"", ""Aimer"" and ""On Dit Dans La Rue""."
Rosalie,1928,Broadway,George Gershwin and Sigmund Romberg,Ira Gershwin and P.G. Wodehouse,William Anthony McGuire and Guy Bolton,Cole Porter composed an almost entirely new score for the film adaptation.
Rose-Marie,1924,Broadway,Rudolf Friml and Herbert Stothart,Otto Harbach and Oscar Hammerstein II,Harbach and Hammerstein,
The Rothschilds,1970,Broadway,Jerry Bock,Sheldon Harnick,Sherman Yellen,
Rover Dangerfield,1991,Musical film,David Newman,Newman,Rodney Dangerfield,
Royal Wedding,1951,Musical film,Burton Lane,Alan Jay Lerner,Lerner,
A Runaway Girl,1898,West End,Ivan Caryll and Lionel Monckton,Aubrey Hopwood and Harry Greenbank,Seymour Hicks and Harry Nicholls,
Runaways,1978,Broadway,Elizabeth Swados,Swados,Swados,
Sadie Thompson,1944,Broadway,Vernon Duke,Howard Dietz,Dietz and Rouben Mamoulian,
Sail Away,1961,Broadway,Noël Coward,Coward,Coward,
St. Louis Woman,1946,Broadway,Harold Arlen,Johnny Mercer,Arna Bontemps and Countee Cullen,
Salad Days,1954,West End,Julian Slade,Slade and Dorothy Reynolds,Slade and Reynolds,
Sally,1925,Broadway,Jerome Kern,Clifford Grey,Guy Bolton,
Saludos Amigos,1942,Musical Animated film,"Charles Wolcott, Edward H. Plumb and Paul J. Smith","Wolcott, Plumb and Smith",Various writers,
Salvation,1969,Off-Broadway,Peter Link and C.C. Courtney,Link and Courtney,Link and Courtney,
San Francisco,1936,Musical film,Bronislaw Kaper and Walter Jurmann,Gus Kahn,Robert E. Hopkins and Anita Loos,
The Sap of Life,1961,Off-Broadway,David Shire,"Richard Maltby, Jr.","Maltby, Jr.",
Sarafina!,1988,Broadway,Mbongeni Ngema,Ngema,Ngema,
Saratoga,1959,Broadway,Harold Arlen,Johnny Mercer,Morton DaCosta,
Saucy Jack and the Space Vixens,1995,West End,Jonathan Croose and Robin Forrest,Charlotte Mann and Michael Fidler,Mann and Fidler,
Saved,2008,Off-Broadway,Michael Friedman,Friedman,John Dempsey and Rinne Groff,
Say It with Songs,1929,Musical film,Dave Dreyer and Billy Rose,Dreyer and Rose,"Joseph Jackson, Darryl F. Zanuck and Harvey Gates",
Say When,1934,Broadway,Ray Henderson,Ted Koehler,Jack McGowan,
"Say, Darling",1958,Broadway,Jule Styne,Betty Comden and Adolph Green,"Abe Burrows, Marian Bissell and Richard Bissell",
Scandalous,2012,Broadway,David Pomeranz and David Friedman,Kathie Lee Gifford,Gifford,
The Scarlet Pimpernel,1997,Broadway,Frank Wildhorn,Nan Knighton,Knighton,
School of Rock,2015,Broadway,Andrew Lloyd Webber,Glenn Slater,Julian Fellowes,
Schwestern im Geiste,2014,"Neuköllner Oper, Berlin",Thomas Zaufke,Peter Lund,Lund&Zaufke,
The Scottsboro Boys,2010,West End,John Kander,Fred Ebb,David Thompson,
Scrooge,1970,Musical film,Leslie Bricusse,Bricusse,Bricusse,"A musical film adaptation of Charles Dickens' classic 1843 story, A Christmas Carol."
Second Chance,2009,French musical,Frédérick Desroches,Stéphane Prémont and Alexandre Martel,"Prémont, Jean-Pierre Cloutier and Joëlle Bourdon",
The Secret Garden,1991,Broadway,Lucy Simon,Marsha Norman,Norman,
The Secret Life of Walter Mitty,1964,Off-Broadway,Leon Carr,Carr,Carr,
See What I Wanna See,2005,Off-Broadway,Michael John LaChiusa,LaChiusa,LaChiusa,
See You Later,1951,West End,Sandy Wilson,Wilson,Wilson,
Seesaw,1973,Broadway,Cy Coleman,Dorothy Fields,Michael Bennett,
Sergeant Brue,1904,West End,Liza Lehmann,J. Hickory Wood,Owen Hall,
Seussical,2000,Broadway,Stephen Flaherty,Lynn Ahrens,Flaherty and Ahrens,Based on the works of Dr. Seuss.
Seven Brides for Seven Brothers,1982,Broadway,"Gene de Paul, Al Kasha and Joel Hirschhorn","Johnny Mercer, Kasha and Hirschhorn",Lawrence Kasha and David Landay,Based on the 1954 Stanley Donen film of the same name.
Sgt. Pepper's Lonely Hearts Club Band,1978,Musical film,The Beatles,The Beatles,Henry Edwards,
Shangri-La,1956,Broadway,Harry Warren,"James Hilton, Jerome Lawrence and Robert Edwin Lee","Hilton, Lawrence and Lee",
She Loves Me,1963,Broadway,Jerry Bock,Sheldon Harnick,Joe Masteroff,
Shenandoah,1975,Broadway,Gary Geld,Peter Udell,"Udell, James Lee Barrett and Philip Rose",
Shinbone Alley,1957,Broadway,George Kleinsinger,Joe Darion,Darion and Mel Brooks,Also performed as archy & mehitabel.
Shock Treatment,1981,Musical film,Richard Hartley and Richard O'Brien,O'Brien,Jim Sharman and O'Brien,
Shockheaded Peter,1998,Off-West End,"Adrian Huge, Martyn Jacques and Adrian Stout",Jacques,"Julian Bleach, Anthony Cairns, Graeme Gilmour and Tamzin Griffin",
Show Boat,1927,Broadway,Jerome Kern,Oscar Hammerstein II and P. G. Wodehouse,Hammerstein II,"Notable songs: ""Ol' Man River"", ""Bill"", ""Can't Help Lovin' Dat Man""."
Showtune,2003,Off-Broadway revue,Jerry Herman,Herman,Paul Gilger,"Premiered in San Francisco in 1985 as ""Tune the Grand Up"", with subsequent productions in London in 1998 as ""The Best of Times""."
Shrek the Musical,2009,Broadway,Jeanine Tesori,David Lindsay-Abaire,Lindsay-Abaire,"Notable songs: ""Freak Flag"" and ""I Think I Got You Beat""."
Side by Side by Sondheim,1976,West End revue,"Stephen Sondheim, Leonard Bernstein, Mary Rodgers, Richard Rodgers and Jule Styne",Sondheim,N/A,
Side Show,1997,Broadway,Henry Krieger,Bill Russell),Russell,
Silk Stockings,1955,Broadway,Cole Porter,Porter,"George S. Kaufman, Leueen MacGrath and Abe Burrows",
Sing,1989,Musical film,Jay Gruska,Gruska and Dean Pitchford,Pitchford,
Sing As We Go,1934,Musical film,Ernest Irving,Irving,Gordon Wellesley and J. B. Priestley,
Singin' in the Rain,1983,West End,Nacio Herb Brown,Arthur Freed,Betty Comden and Adolph Green,"Adapted from the 1952 movie of the same name, the plot closely adheres to the original. Notable songs: ""Singin' in the Rain"" and ""Make 'Em Laugh""."
Sister Act,2009,West End,Alan Menken,Glenn Slater,Bill and Cheri Steinkellner,
Skyscraper,1965,Broadway,Jimmy Van Heusen,Sammy Cahn,Peter Stone,
Sleeping Beauty,1959,Musical Animated film,George Bruns,Bruns,Erdman Penner,"Notable song: ""Once Upon a Dream""."
The Slipper and the Rose,2001,Off-West End,Richard M. Sherman and Robert B. Sherman,Angela Morley,Morley,Retelling of the classic fairy tale of Cinderella.
Smike,1973,Musical film,Roger Holman and Simon May,Holman and May,May and Clive Barnett,Adaptation of Nicholas Nickleby.
Smile,1986,Broadway,Marvin Hamlisch,Howard Ashman,Ashman,
Smiling the Boy Fell Dead,1961,Off-Broadway,David Baker,Sheldon Harnick,Ira Wallach,
Smoke on the Mountain,1988,Off-Broadway,Connie Ray,Ray,Ray,
Smokey Joe's Cafe,1995,Broadway revue,Jerry Leiber and Mike Stoller,Leiber and Stoller,N/A,
Snoopy! The Musical,1975,Off-Broadway,Larry Grossman,Hal Hackady,"Warren Lockhart, Arthur Whitelaw and Michael Grace",
"Snoopy, Come Home",1972,Musical Animated film,Richard M. Sherman and Robert B. Sherman,Sherman and Sherman,Charles M. Schulz,
Snow White and the Seven Dwarfs,1937,Musical Animated film,Frank Churchill,Larry Morey,Various writers,"Notable songs: ""Someday My Prince Will Come"", ""Whistle While You Work"" and ""Heigh-Ho""."
Snow.Wolf.Lake,1997,Chinese musical,"Guo Sai Cheung, Dick Lee, Iskandar Ismail and Lam Ming Yeung","Lam, Jang Keung, Albert Leung, Choo, Sin Man and Jacky Cheung",Cheung,
Soho Cinders,2011,British Musical,George Stiles,Anthony Drewe,Drewe and Elliot Davis,
Someone Like You,1989,West End,Petula Clark,Dee Shipman,Robin Midgley and Fay Weldon,
Something Rotten!,2015,Broadway,Wayne Kirkpatrick and Karey Kirkpatrick,Wayne Kirkpatrick and Karey Kirkpatrick,Karey Kirkpatrick and John O'Farrell,
Song and Dance,1982,West End,Andrew Lloyd Webber,"Don Black and Richard Maltby, Jr.",Lloyd Webber,"Notable songs: ""Unexpected Song"" and ""Tell Me on a Sunday""."
Song of Norway,1944,Broadway,Edvard Grieg,Robert Wright and George Forrest,Milton Lazarus and Homer Curran,
Songs for a New World,1995,Off-Broadway,Jason Robert Brown,Brown,Brown,
Some Like It Hot,1962,Musical film,Various artists,Various artists,Billy Wilder and I. A. L. Diamond,
Sophisticated Ladies,1981,Broadway,Duke Ellington,Various artists,Donald McKayle,
Soul Men,2008,Musical film,Stanley Clarke,Clarke,Robert Ramsey and Matthew Stone,
The Sound of Music,1959,Broadway,Richard Rodgers,Oscar Hammerstein II,Howard Lindsay and Russel Crouse,"Notable songs: ""Do-Re-Mi"", ""Climb Ev'ry Mountain"", ""The Sound of Music"" and ""My Favorite Things""."
South Pacific,1949,Broadway,Richard Rodgers,Oscar Hammerstein II,Hammerstein II and Joshua Logan,"Notable songs: ""Bali Ha'i"", ""Some Enchanted Evening"", ""Younger Than Springtime"" and ""Happy Talk""."
"South Park: Bigger, Longer & Uncut",1999,Musical Animated film,Trey Parker and Marc Shaiman,Parker and Shaiman,"Parker, Matt Stone and Pam Brady","Notable songs: ""Blame Canada"", ""Uncle Fucker"", ""It's Easy, Mmkay"" and ""Kyle's Mom is a Big, Fat, Bitch""."
Spamalot,2005,Broadway,"John Du Prez, Eric Idle and Neil Innes",Idle,Idle,"Notable songs: ""Always Look on the Bright Side of Life"" and ""The Song That Goes Like This""."
Spectacular!,2009,Musical film,Various artists,Various artists,Jim Kreig,
The Spitfire Grill,2001,Off-Broadway,James Valcq,Fred Alley,Valcq and Alley,
Spring Awakening,2006,Broadway,Duncan Sheik,Steven Sater,Sater,"Notables songs: ""Mama Who Bore Me"", ""The Bitch of Living"" and ""The Song of Purple Summer""."
Starlight Express,1984,West End,Andrew Lloyd Webber,Richard Stilgoe,Lloyd Webber and Stilgoe,"Notable songs: ""U.N.C.O.U.P.L.E.D."", ""Starlight Express"" and ""Light at the End of the Tunnel""."
Starmania,1976,French musical,Michel Berger,Luc Plamondon,Plamondon,
Starmites,1989,Broadway,Barry Keating,Keating,Stuart Ross and Keating,
Starship,2011,Off-Off Broadway,Darren Criss,Criss,"Matt Lang, Nick Lang, Brian Holden and Joe Walker",Performed by StarKid Productions.
"Starting Here, Starting Now",1976,Off-Broadway revue,David Shire,"Richard Maltby, Jr.",N/A,
State Fair,1996,Broadway,Richard Rodgers,Oscar Hammerstein II,Tom Briggs and Louis Mattioli,"Based on the film of the same name. Notable songs: ""It Might as Well Be Spring"", ""It's A Grand Night for Singing"" and ""Isn't It Kind of Fun?""."
Steel Pier,1997,Broadway,John Kander,Fred Ebb,David Thompson,
Stephen Ward the Musical,2013,West End,Andrew Lloyd Webber,Don Black and Christopher Hampton,Black and Hampton,
Step Up: All In,2014,Las Vegas,Dolby Digital,Don Black and Christopher Hampton,Black and Hampton,
Stingray Sam,2009,Musical film,Cory McAbee,McAbee,McAbee,
Stop the World – I Want to Get Off,1961,West End,Leslie Bricusse and Anthony Newley,Bricusse and Newley,Bricusse and Newley,
The Story of My Life,2009,Broadway - Booth Theatre,Neil Bartram,Neil Bartram,Brian Hill,
Street Scene,1947,Broadway,Kurt Weill,Elmer Rice,Elmer Rice,
"""Street Dance (musical) dance",,,,,,
Strike Up the Band,1930,Broadway,George Gershwin,Ira Gershwin,Morrie Ryskind,"Notable song: ""Strike Up the Band""."
The Stripper,1982,Australian musical,Richard Hartley,Richard O'Brien,Carter Brown,
The Student Prince,1924,Broadway,Sigmund Romberg,Dorothy Donnelly,Donnelly,"Longest-running musical of the 1920s, until Show Boat."
Subways Are For Sleeping,1961,Broadway,Jule Styne,Betty Comden and Adolph Green,Comden and Green,
Sugar,1972,Broadway,Jule Styne,Bob Merrill,Peter Stone,
Sugar Babies,1979,Broadway revue,Jimmy McHugh,Dorothy Fields and Al Dubin,N/A,
Sunday in the Park with George,1984,Broadway,Stephen Sondheim,Sondheim,James Lapine,"Notable songs: ""Sunday in the Park with George"", ""Everybody Loves Louis"" and ""Finishing the Hat""."
Sunshine on Leith,2007,Dundee Rep,Craig Reid and Charlie Reid,Reid & Reid,Stephen Greenhorn,"Compiled by songs from The Proclaimers. Notable Songs: ""Letter from America"", ""I'm On My Way"" and ""I'm Gonna Be (500 Miles)"""
Sunset Boulevard,1993,West End,Andrew Lloyd Webber,Don Black and Christopher Hampton,Black and Hampton,"Notable songs: ""Sunset Boulevard"", ""With One Look"" and ""As If We Never Said Goodbye""."
Sweeney Todd: The Demon Barber of Fleet Street,1979,Broadway,Stephen Sondheim,Sondheim,Hugh Wheeler,"Notable songs: ""The Worst Pies in London"", ""Green Finch and Linnet Bird"", ""Johanna"" and ""No Place Like London""."
Sweet Charity,1966,Broadway,Cy Coleman,Dorothy Fields,Neil Simon,"Notable songs: ""Big Spender"", ""If My Friends Could See Me Now"" and ""The Rhythm of Life""."
Sweet Smell of Success,2002,Broadway,Marvin Hamlisch,Craig Carnelia,John Guare,
Swing!,1999,Broadway revue,Various artists,Various artists,N/A,
Swinging on a Star,1995,Broadway revue,Johnny Burke,Burke,Michael Leeds,
The Swing Mikado,1938,Broadway,Gentry Warden and Arthur Sullivan,W. S. Gilbert,Harry Minturn,"Based on Gilbert and Sullivan's comic opera, The Mikado."
Swing Time,1936,Musical film,George Gershwin,Ira Gershwin,Howard Lindsay and Allan Scott,
The Sword in the Stone,1963,Musical Animated film,Richard M. Sherman and Robert B. Sherman,Sherman and Sherman,Bill Peet,
Taboo,2003,West End,"Boy George, Kevan Frost, John Themis and Richie Stevens",George,Mark Davies Markham and Charles Busch,
Take Flight!,2007,West End,David Shire,"Richard Maltby, Jr.",John Weidman,
Take It Easy: Raymond Fox's New 40's Musical,1996,Off-Broadway,Raymond Fox,Fox,Fox,
Take Me Along,1959,Broadway,Bob Merrill,Merrill,Joseph Stein and Robert Russell,
Taking My Turn,1983,Off-Broadway,Gary William Friedman,Will Holt,Elise Brosnan,
Tangled,2010,Musical Animated film,Alan Menken,Glenn Slater,Dan Fogelman,"Starred Mandy Moore, Zachary Levi and Donna Murphy."
Tango Argentino,1985,Broadway revue,Various artists,Various artists,N/A,
Tältprojektet,1977,Swedish musical,Ulf Dageby,Dageby,Dageby,
Tanz der Vampire,1997,Austrian musical,Jim Steinman,Michael Kunze,Kunze,
The Tap Dance Kid,1983,Broadway,Henry Krieger,Robert Lorick,Charles Blackwell,
Tarzan,2006,Broadway,Phil Collins,Collins,David Henry Hwang,
Teacher's Pet,2004,Musical film,Stephen James Taylor,Taylor,Bill Steinkellner and Cheri Steinkellner,
The Perfect City,2014,Off-Off-West End,Martin Coslett,Ross Clark,Andrew Miller[disambiguation needed],
